"replicate","standard_projection","standard_backtrack","standard_no_move","standard_runtime_conditions","flexible_projection","flexible_backtrack","flexible_no_move","flexible_runtime_conditions"
47,0,0,0,TRUE,0,0,0,TRUE
48,0,0,0,TRUE,0,0,0,TRUE
49,0,0,0,TRUE,0,0,0,TRUE
50,0,0,0,TRUE,0,0,0,TRUE
51,0,0,0,TRUE,0,0,0,TRUE
52,0,0,0,TRUE,0,0,0,TRUE
53,0,0,0,TRUE,0,0,0,TRUE
54,0,0,0,TRUE,0,0,0,TRUE
55,0,0,0,TRUE,0,0,0,TRUE
56,0,0,0,TRUE,0,0,0,TRUE
57,0,0,0,TRUE,0,0,0,TRUE
58,0,0,0,TRUE,0,0,0,TRUE
59,0,0,0,TRUE,0,0,0,TRUE
60,0,0,0,TRUE,0,0,0,TRUE
61,0,0,0,TRUE,0,0,0,TRUE
62,0,0,0,TRUE,0,0,0,TRUE
63,0,0,0,TRUE,0,0,0,TRUE
64,0,0,0,TRUE,0,0,0,TRUE
65,0,0,0,TRUE,0,0,0,TRUE
66,0,0,0,TRUE,0,0,0,TRUE
67,0,0,0,TRUE,0,0,0,TRUE
68,0,0,0,TRUE,0,0,0,TRUE
69,0,0,0,TRUE,0,0,0,TRUE
70,0,0,0,TRUE,0,0,0,TRUE
71,0,0,0,TRUE,0,0,0,TRUE
72,0,0,0,TRUE,0,0,0,TRUE
73,0,0,0,TRUE,0,0,0,TRUE
74,0,0,0,TRUE,0,0,0,TRUE
75,0,0,0,TRUE,0,0,0,TRUE
76,0,0,0,TRUE,0,0,0,TRUE
77,0,0,0,TRUE,0,0,0,TRUE
78,0,0,0,TRUE,0,0,0,TRUE
79,0,0,0,TRUE,0,0,0,TRUE
80,0,0,0,TRUE,0,0,0,TRUE
81,0,0,0,TRUE,0,0,0,TRUE
82,0,0,0,TRUE,0,0,0,TRUE
83,0,0,0,TRUE,0,0,0,TRUE
84,0,0,0,TRUE,0,0,0,TRUE
85,0,0,0,TRUE,0,0,0,TRUE
86,0,0,0,TRUE,0,0,0,TRUE
87,0,0,0,TRUE,0,0,0,TRUE
88,0,0,0,TRUE,0,0,0,TRUE
89,0,0,0,TRUE,0,0,0,TRUE
90,0,0,0,TRUE,0,0,0,TRUE
91,0,0,0,TRUE,0,0,0,TRUE
92,0,0,0,TRUE,0,0,0,TRUE
93,0,0,0,TRUE,0,0,0,TRUE
94,0,0,0,TRUE,0,0,0,TRUE
95,0,0,0,TRUE,0,0,0,TRUE
96,0,0,0,TRUE,0,0,0,TRUE
97,0,0,0,TRUE,0,0,0,TRUE
98,0,0,0,TRUE,0,0,0,TRUE
99,0,0,0,TRUE,0,0,0,TRUE
100,0,0,0,TRUE,0,0,0,TRUE
101,0,0,0,TRUE,0,0,0,TRUE
102,0,0,0,TRUE,0,0,0,TRUE
103,0,0,0,TRUE,0,0,0,TRUE
104,0,0,0,TRUE,0,0,0,TRUE
105,0,0,0,TRUE,0,0,0,TRUE
106,0,0,0,TRUE,0,0,0,TRUE
107,0,0,0,TRUE,0,0,0,TRUE
108,0,0,0,TRUE,0,0,0,TRUE
109,0,0,0,TRUE,0,0,0,TRUE
110,0,0,0,TRUE,0,0,0,TRUE
111,0,0,0,TRUE,0,0,0,TRUE
112,0,0,0,TRUE,0,0,0,TRUE
113,0,0,0,TRUE,0,0,0,TRUE
114,0,0,0,TRUE,0,0,0,TRUE
115,0,0,0,TRUE,0,0,0,TRUE
116,0,0,0,TRUE,0,0,0,TRUE
117,0,0,0,TRUE,0,0,0,TRUE
118,0,0,0,TRUE,0,0,0,TRUE
119,0,0,0,TRUE,0,0,0,TRUE
120,0,0,0,TRUE,0,0,0,TRUE
121,0,0,0,TRUE,0,0,0,TRUE
122,0,0,0,TRUE,0,0,0,TRUE
123,0,0,0,TRUE,0,0,0,TRUE
124,0,0,0,TRUE,0,0,0,TRUE
125,0,0,0,TRUE,0,0,0,TRUE
126,0,0,0,TRUE,0,0,0,TRUE
127,0,0,0,TRUE,0,0,0,TRUE
128,0,0,0,TRUE,0,0,0,TRUE
129,0,0,0,TRUE,0,0,0,TRUE
130,0,0,0,TRUE,0,0,0,TRUE
131,0,0,0,TRUE,0,0,0,TRUE
132,0,0,0,TRUE,0,0,0,TRUE
133,0,0,0,TRUE,0,0,0,TRUE
134,0,0,0,TRUE,0,0,0,TRUE
135,0,0,0,TRUE,0,0,0,TRUE
136,0,0,0,TRUE,0,0,0,TRUE
137,0,0,0,TRUE,0,0,0,TRUE
138,0,0,0,TRUE,0,0,0,TRUE
139,0,0,0,TRUE,0,0,0,TRUE
140,0,0,0,TRUE,0,0,0,TRUE
141,0,0,0,TRUE,0,0,0,TRUE
142,0,0,0,TRUE,0,0,0,TRUE
143,0,0,0,TRUE,0,0,0,TRUE
144,0,0,0,TRUE,0,0,0,TRUE
145,0,0,0,TRUE,0,0,0,TRUE
146,0,0,0,TRUE,0,0,0,TRUE
147,0,0,0,TRUE,0,0,0,TRUE
148,0,0,0,TRUE,0,0,0,TRUE
149,0,0,0,TRUE,0,0,0,TRUE
150,0,0,0,TRUE,0,0,0,TRUE
151,0,0,0,TRUE,0,0,0,TRUE
152,0,0,0,TRUE,0,0,0,TRUE
153,0,0,0,TRUE,0,0,0,TRUE
154,0,0,0,TRUE,0,0,0,TRUE
155,0,0,0,TRUE,0,0,0,TRUE
156,0,0,0,TRUE,0,0,0,TRUE
157,0,0,0,TRUE,0,0,0,TRUE
158,0,0,0,TRUE,0,0,0,TRUE
159,0,0,0,TRUE,0,0,0,TRUE
160,0,0,0,TRUE,0,0,0,TRUE
161,0,0,0,TRUE,0,0,0,TRUE
162,0,0,0,TRUE,0,0,0,TRUE
163,0,0,0,TRUE,0,0,0,TRUE
164,0,0,0,TRUE,0,0,0,TRUE
165,0,0,0,TRUE,0,0,0,TRUE
166,0,0,0,TRUE,0,0,0,TRUE
167,0,0,0,TRUE,0,0,0,TRUE
168,0,0,0,TRUE,0,0,0,TRUE
169,0,0,0,TRUE,0,0,0,TRUE
170,0,0,0,TRUE,0,0,0,TRUE
171,0,0,0,TRUE,0,0,0,TRUE
172,0,0,0,TRUE,0,0,0,TRUE
173,0,0,0,TRUE,0,0,0,TRUE
174,0,0,0,TRUE,0,0,0,TRUE
175,0,0,0,TRUE,0,0,0,TRUE
176,0,0,0,TRUE,0,0,0,TRUE
177,0,0,0,TRUE,0,0,0,TRUE
178,0,0,0,TRUE,0,0,0,TRUE
179,0,0,0,TRUE,0,0,0,TRUE
180,0,0,0,TRUE,0,0,0,TRUE
181,0,0,0,TRUE,0,0,0,TRUE
182,0,0,0,TRUE,0,0,0,TRUE
183,0,0,0,TRUE,0,0,0,TRUE
184,0,0,0,TRUE,0,0,0,TRUE
185,0,0,0,TRUE,0,0,0,TRUE
186,0,0,0,TRUE,0,0,0,TRUE
187,0,0,0,TRUE,0,0,0,TRUE
188,0,0,0,TRUE,0,0,0,TRUE
189,0,0,0,TRUE,0,0,0,TRUE
190,0,0,0,TRUE,0,0,0,TRUE
191,0,0,0,TRUE,0,0,0,TRUE
192,0,0,0,TRUE,0,0,0,TRUE
193,0,0,0,TRUE,0,0,0,TRUE
194,0,0,0,TRUE,0,0,0,TRUE
195,0,0,0,TRUE,0,0,0,TRUE
196,0,0,0,TRUE,0,0,0,TRUE
197,0,0,0,TRUE,0,0,0,TRUE
198,0,0,0,TRUE,0,0,0,TRUE
199,0,0,0,TRUE,0,0,0,TRUE
200,0,0,0,TRUE,0,0,0,TRUE
